edad,zona,anios_vehiculo,cobertura,historial_siniestros,tipo_uso,numero_siniestros,tuvo_siniestro,severidad_promedio,costo_siniestros,lambda_real,prob_siniestro_real,severidad_esperada_real,prima_pura_real
23,2,0,0,3,0,0,0,,0.0,0.18553717735636674,0.16934204665988406,6983.112407330842,1295.6269652183876
62,2,14,0,4,0,0,0,,0.0,0.28027051982381157,0.2444206853768507,8260.579322900616,2315.196860875185
55,3,4,0,2,0,0,0,,0.0,0.18041419287047084,0.16507567991740513,8097.008893052415,1460.8153241050761
43,4,14,2,0,1,0,0,,0.0,0.1989901406415179,0.1804420263910489,20728.192310261038,4124.705903063274
42,2,11,0,1,0,0,0,,0.0,0.13848406695617121,0.12932287630462647,7968.48766238347,1103.5085789769366
66,4,4,0,1,1,0,0,,0.0,0.12770913291257383,0.11989066324258424,8948.578752001418,1142.8152332179832
22,4,9,0,0,2,0,0,,0.0,0.1343912442452489,0.12575204679747154,11039.665274139254,1483.6343522426412
57,1,0,2,2,0,0,0,,0.0,0.13472764267869639,0.1260460929782633,10211.297659526826,1375.744062358539
29,5,14,0,1,1,1,1,4433.688778726388,4433.688778726388,0.23445303226615052,0.20899661534462755,11150.61575469762,2614.295675323567
23,1,6,0,1,0,0,0,,0.0,0.09306100808401803,0.08886208817779184,6790.297268953957,631.9119090390097
48,4,7,0,0,0,1,1,3579.68921255527,3579.68921255527,0.1343912442452489,0.12575204679747154,9276.59648104672,1246.693343448966
73,3,3,0,0,0,0,0,,0.0,0.06332342215661033,0.06136015233172465,8000.425446016581,506.6143179505954
59,4,7,2,2,0,0,0,,0.0,0.2477091508230121,0.21941305666491928,19058.147892404617,4720.877630686925
61,4,7,1,0,1,1,1,4795.235855581451,4795.235855581451,0.12675489727235567,0.1190504307200092,13296.4186032912,1685.386174150415
58,4,4,0,0,1,0,0,,0.0,0.11281567351158354,0.10668469338528919,8948.578752001418,1009.5399388784857
62,4,19,2,1,1,0,0,,0.0,0.22832162684370022,0.20413175392477456,22009.95213885567,5025.348079095506
47,5,5,0,1,1,0,0,,0.0,0.21235412434907558,0.19132172581271145,10009.100418608576,2125.47375491559
25,4,3,2,0,1,2,1,8346.024369554652,16692.048739109305,0.15144996085152654,0.14053911211208803,18164.96467537078,2751.083188954267
65,5,10,0,0,1,0,0,,0.0,0.1271357329320356,0.11938586385386718,10628.02862252103,1351.2022085468636
43,3,6,0,2,1,1,1,19827.95994854781,19827.95994854781,0.20711108233775058,0.18707065711993165,8293.687813027842,1717.7146595276079
46,2,9,2,3,1,0,0,,0.0,0.312547131618141,0.2684188524692189,13619.392837971931,4256.702165888781
39,2,14,2,0,0,0,0,,0.0,0.1261227045847804,0.11849332476358665,14461.5690571167,1823.9322020231307
28,4,1,1,2,1,0,0,,0.0,0.24487681274714082,0.21719903659721196,12372.728314001351,3029.794274518956
70,3,10,1,0,0,0,0,,0.0,0.08374322559219596,0.0803326271755056,11983.06881038794,1003.5008346751246
62,1,0,2,1,0,0,0,,0.0,0.09053669869784346,0.08655918880249114,10211.297659526826,924.4971795145744
